Date,Session source - GA4,Session medium - GA4,Session campaign - GA4,Event name - GA4,Traffic source,Paid / Organic,"Sessions - GA4, event based",Event count - GA4,Event value - GA4 (USD),Week of
2024-06-06,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,1,0,6/3/24
2024-06-06,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,1,1,0,6/3/24
2024-06-07,(direct),(none),(direct),first_visit,Direct,Organic,,1,0,6/3/24
2024-06-07,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,7,0,6/3/24
2024-06-07,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,1,0,6/3/24
2024-06-07,(direct),(none),(direct),page_view,Direct,Organic,,1,0,6/3/24
2024-06-07,tagassistant.google.com,referral,(referral),page_view,Google,Organic,,1,0,6/3/24
2024-06-07,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,7,0,6/3/24
2024-06-07,(direct),(none),(direct),scroll,Direct,Organic,,1,0,6/3/24
2024-06-07,tagassistant.google.com,referral,(referral),scroll,Google,Organic,,1,0,6/3/24
2024-06-07,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,4,0,6/3/24
2024-06-07,(direct),(none),(direct),session_start,Direct,Organic,1,1,0,6/3/24
2024-06-07,tagassistant.google.com,referral,(referral),session_start,Google,Organic,1,1,0,6/3/24
2024-06-07,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,8,8,0,6/3/24
2024-06-07,(direct),(none),(direct),user_engagement,Direct,Organic,,1,0,6/3/24
2024-06-07,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,6,0,6/3/24
2024-06-08,google,organic,(organic),click_to_call_website,Google,Organic,,1,0,6/3/24
2024-06-08,google,organic,(organic),first_visit,Google,Organic,,1,0,6/3/24
2024-06-08,google,organic,(organic),session_start,Google,Organic,1,1,0,6/3/24
2024-06-10,google,organic,(organic),click_to_call_website,Google,Organic,,2,0,6/10/24
2024-06-10,google,organic,(organic),first_visit,Google,Organic,,1,0,6/10/24
2024-06-10,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,15,0,6/10/24
2024-06-10,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,5,0,6/10/24
2024-06-10,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,5,0,6/10/24
2024-06-10,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,20,0,6/10/24
2024-06-10,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,6,0,6/10/24
2024-06-10,google,organic,(organic),session_start,Google,Organic,1,1,0,6/10/24
2024-06-10,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,15,15,0,6/10/24
2024-06-10,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,13,0,6/10/24
2024-06-11,google,cpc,DF - Leads - Call Only,click,Google,Paid,,1,0,6/10/24
2024-06-11,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,21,0,6/10/24
2024-06-11,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,13,0,6/10/24
2024-06-11,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,7,0,6/10/24
2024-06-11,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,36,0,6/10/24
2024-06-11,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,12,0,6/10/24
2024-06-11,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,24,24,0,6/10/24
2024-06-11,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,20,0,6/10/24
2024-06-12,(direct),(none),(direct),click,Direct,Organic,,2,0,6/10/24
2024-06-12,google,cpc,DF - Leads - Call Only,click,Google,Paid,,2,0,6/10/24
2024-06-12,(direct),(none),(direct),click_to_call_website,Direct,Organic,,1,0,6/10/24
2024-06-12,google,organic,(organic),click_to_call_website,Google,Organic,,1,0,6/10/24
2024-06-12,(direct),(none),(direct),first_visit,Direct,Organic,,2,0,6/10/24
2024-06-12,google,organic,(organic),first_visit,Google,Organic,,1,0,6/10/24
2024-06-12,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,17,0,6/10/24
2024-06-12,(direct),(none),(direct),form_start,Direct,Organic,,2,0,6/10/24
2024-06-12,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,6,0,6/10/24
2024-06-12,(direct),(none),(direct),form_submission,Direct,Organic,,1,0,6/10/24
2024-06-12,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,3,0,6/10/24
2024-06-12,(direct),(none),(direct),page_view,Direct,Organic,,8,0,6/10/24
2024-06-12,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,29,0,6/10/24
2024-06-12,(direct),(none),(direct),scroll,Direct,Organic,,3,0,6/10/24
2024-06-12,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,10,0,6/10/24
2024-06-12,(direct),(none),(direct),session_start,Direct,Organic,2,2,0,6/10/24
2024-06-12,google,organic,(organic),session_start,Google,Organic,1,1,0,6/10/24
2024-06-12,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,18,18,0,6/10/24
2024-06-12,(direct),(none),(direct),user_engagement,Direct,Organic,,1,0,6/10/24
2024-06-12,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,14,0,6/10/24
2024-06-13,google,cpc,DF - Leads - Call Only,click,Google,Paid,,1,0,6/10/24
2024-06-13,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,17,0,6/10/24
2024-06-13,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,16,0,6/10/24
2024-06-13,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,8,0,6/10/24
2024-06-13,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,29,0,6/10/24
2024-06-13,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,6,0,6/10/24
2024-06-13,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,20,20,0,6/10/24
2024-06-13,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,15,0,6/10/24
2024-06-14,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,9,0,6/10/24
2024-06-14,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,6,0,6/10/24
2024-06-14,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,3,0,6/10/24
2024-06-14,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,24,0,6/10/24
2024-06-14,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,6,0,6/10/24
2024-06-14,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,10,10,0,6/10/24
2024-06-14,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,6,0,6/10/24
2024-06-15,google,cpc,(not set),click_to_call_website,Google,Paid,,1,0,6/10/24
2024-06-15,google,cpc,(not set),first_visit,Google,Paid,,1,0,6/10/24
2024-06-15,google,cpc,(not set),session_start,Google,Paid,1,1,0,6/10/24
2024-06-17,(direct),(none),(direct),click,Direct,Organic,,1,0,6/17/24
2024-06-17,google,cpc,DF - Leads - Call Only,click,Google,Paid,,1,0,6/17/24
2024-06-17,(direct),(none),(direct),first_visit,Direct,Organic,,3,0,6/17/24
2024-06-17,google,organic,(organic),first_visit,Google,Organic,,1,0,6/17/24
2024-06-17,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,10,0,6/17/24
2024-06-17,(direct),(none),(direct),form_start,Direct,Organic,,1,0,6/17/24
2024-06-17,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,4,0,6/17/24
2024-06-17,(direct),(none),(direct),form_submission,Direct,Organic,,2,0,6/17/24
2024-06-17,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,4,0,6/17/24
2024-06-17,(direct),(none),(direct),page_view,Direct,Organic,,7,0,6/17/24
2024-06-17,google,organic,(organic),page_view,Google,Organic,,1,0,6/17/24
2024-06-17,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,11,0,6/17/24
2024-06-17,(direct),(none),(direct),scroll,Direct,Organic,,2,0,6/17/24
2024-06-17,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,3,0,6/17/24
2024-06-17,(direct),(none),(direct),session_start,Direct,Organic,3,3,0,6/17/24
2024-06-17,google,organic,(organic),session_start,Google,Organic,1,1,0,6/17/24
2024-06-17,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,11,11,0,6/17/24
2024-06-17,(direct),(none),(direct),user_engagement,Direct,Organic,,2,0,6/17/24
2024-06-17,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,6,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Call Only,click,Google,Paid,,3,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Call Only,click_to_call_website,Google,Paid,,2,0,6/17/24
2024-06-18,(direct),(none),(direct),first_visit,Direct,Organic,,1,0,6/17/24
2024-06-18,google,cpc,(not set),first_visit,Google,Paid,,3,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,10,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,15,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,5,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Search,form_start,Google,Paid,,6,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,2,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Search,form_submission,Google,Paid,,3,0,6/17/24
2024-06-18,(direct),(none),(direct),page_view,Direct,Organic,,19,0,6/17/24
2024-06-18,google,cpc,(not set),page_view,Google,Paid,,3,0,6/17/24
2024-06-18,tagassistant.google.com,referral,(referral),page_view,Google,Organic,,1,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,19,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Search,page_view,Google,Paid,,15,0,6/17/24
2024-06-18,(direct),(none),(direct),scroll,Direct,Organic,,1,0,6/17/24
2024-06-18,google,cpc,(not set),scroll,Google,Paid,,1,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,9,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Search,scroll,Google,Paid,,3,0,6/17/24
2024-06-18,(direct),(none),(direct),session_start,Direct,Organic,1,1,0,6/17/24
2024-06-18,google,cpc,(not set),session_start,Google,Paid,3,3,0,6/17/24
2024-06-18,tagassistant.google.com,referral,(referral),session_start,Google,Organic,1,1,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,11,11,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Search,session_start,Google,Paid,15,15,0,6/17/24
2024-06-18,(direct),(none),(direct),user_engagement,Direct,Organic,,1,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,8,0,6/17/24
2024-06-18,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,8,0,6/17/24
2024-06-19,(direct),(none),(direct),first_visit,Direct,Organic,,2,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,6,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,7,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,1,0,6/17/24
2024-06-19,(direct),(none),(direct),page_view,Direct,Organic,,3,0,6/17/24
2024-06-19,tagassistant.google.com,referral,(referral),page_view,Google,Organic,,1,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,7,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Search,page_view,Google,Paid,,7,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,4,0,6/17/24
2024-06-19,(direct),(none),(direct),session_start,Direct,Organic,4,4,0,6/17/24
2024-06-19,tagassistant.google.com,referral,(referral),session_start,Google,Organic,1,1,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,7,7,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Search,session_start,Google,Paid,7,7,0,6/17/24
2024-06-19,(direct),(none),(direct),user_engagement,Direct,Organic,,1,0,6/17/24
2024-06-19,tagassistant.google.com,referral,(referral),user_engagement,Google,Organic,,1,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,2,0,6/17/24
2024-06-19,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,4,0,6/17/24
2024-06-20,(direct),(none),(direct),first_visit,Direct,Organic,,5,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,2,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,37,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Search,form_start,Google,Paid,,4,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Search,form_submission,Google,Paid,,1,0,6/17/24
2024-06-20,(direct),(none),(direct),page_view,Direct,Organic,,6,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,6,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Search,page_view,Google,Paid,,50,0,6/17/24
2024-06-20,(direct),(none),(direct),scroll,Direct,Organic,,2,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,1,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Search,scroll,Google,Paid,,5,0,6/17/24
2024-06-20,(direct),(none),(direct),session_start,Direct,Organic,8,8,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,2,2,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Search,session_start,Google,Paid,45,45,0,6/17/24
2024-06-20,(direct),(none),(direct),user_engagement,Direct,Organic,,5,0,6/17/24
2024-06-20,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,30,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Search,click,Google,Paid,,1,0,6/17/24
2024-06-21,(direct),(none),(direct),first_visit,Direct,Organic,,7,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,4,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,19,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,2,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Search,form_start,Google,Paid,,2,0,6/17/24
2024-06-21,(direct),(none),(direct),page_view,Direct,Organic,,8,0,6/17/24
2024-06-21,google,organic,(organic),page_view,Google,Organic,,1,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,11,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Search,page_view,Google,Paid,,29,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,3,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Search,scroll,Google,Paid,,5,0,6/17/24
2024-06-21,(direct),(none),(direct),session_start,Direct,Organic,7,7,0,6/17/24
2024-06-21,google,organic,(organic),session_start,Google,Organic,1,1,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,4,4,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Search,session_start,Google,Paid,22,22,0,6/17/24
2024-06-21,(direct),(none),(direct),user_engagement,Direct,Organic,,5,0,6/17/24
2024-06-21,google,organic,(organic),user_engagement,Google,Organic,,1,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,1,0,6/17/24
2024-06-21,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,14,0,6/17/24
2024-06-22,google,cpc,DF - Leads - Search,click,Google,Paid,,1,0,6/17/24
2024-06-22,google,cpc,DF - Leads - Search,click_to_call_website,Google,Paid,,1,0,6/17/24
2024-06-22,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,18,0,6/17/24
2024-06-22,google,cpc,DF - Leads - Search,form_start,Google,Paid,,3,0,6/17/24
2024-06-22,google,cpc,DF - Leads - Search,form_submission,Google,Paid,,1,0,6/17/24
2024-06-22,google,cpc,DF - Leads - Search,page_view,Google,Paid,,26,0,6/17/24
2024-06-22,google,cpc,DF - Leads - Search,scroll,Google,Paid,,3,0,6/17/24
2024-06-22,google,cpc,DF - Leads - Search,session_start,Google,Paid,20,20,0,6/17/24
2024-06-22,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,13,0,6/17/24
2024-06-23,google,cpc,DF - Leads - Search,click,Google,Paid,,3,0,6/17/24
2024-06-23,(direct),(none),(direct),first_visit,Direct,Organic,,2,0,6/17/24
2024-06-23,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,15,0,6/17/24
2024-06-23,google,cpc,DF - Leads - Search,form_start,Google,Paid,,1,0,6/17/24
2024-06-23,google,cpc,DF - Leads - Search,form_submission,Google,Paid,,2,0,6/17/24
2024-06-23,(direct),(none),(direct),page_view,Direct,Organic,,3,0,6/17/24
2024-06-23,google,cpc,DF - Leads - Search,page_view,Google,Paid,,18,0,6/17/24
2024-06-23,google,cpc,DF - Leads - Search,scroll,Google,Paid,,4,0,6/17/24
2024-06-23,(direct),(none),(direct),session_start,Direct,Organic,2,2,0,6/17/24
2024-06-23,google,cpc,DF - Leads - Search,session_start,Google,Paid,16,16,0,6/17/24
2024-06-23,(direct),(none),(direct),user_engagement,Direct,Organic,,2,0,6/17/24
2024-06-23,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,7,0,6/17/24
2024-06-24,google,cpc,(organic),click_to_call_website,Google,Paid,,2,0,6/24/24
2024-06-24,(direct),(none),(direct),first_visit,Direct,Organic,,1,0,6/24/24
2024-06-24,google,cpc,(organic),first_visit,Google,Paid,,1,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,2,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,19,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,1,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Search,form_start,Google,Paid,,2,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,1,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Search,form_submission,Google,Paid,,2,0,6/24/24
2024-06-24,(direct),(none),(direct),page_view,Direct,Organic,,3,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,3,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Search,page_view,Google,Paid,,21,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,1,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Search,scroll,Google,Paid,,2,0,6/24/24
2024-06-24,(direct),(none),(direct),session_start,Direct,Organic,2,2,0,6/24/24
2024-06-24,google,cpc,(organic),session_start,Google,Paid,1,1,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,3,3,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Search,session_start,Google,Paid,20,20,0,6/24/24
2024-06-24,(direct),(none),(direct),user_engagement,Direct,Organic,,2,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,1,0,6/24/24
2024-06-24,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,14,0,6/24/24
2024-06-25,(direct),(none),(direct),click,Direct,Organic,,2,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Search,click,Google,Paid,,1,0,6/24/24
2024-06-25,(direct),(none),(direct),click_to_call_website,Direct,Organic,,1,0,6/24/24
2024-06-25,(direct),(none),(direct),first_visit,Direct,Organic,,3,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,4,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,15,0,6/24/24
2024-06-25,(direct),(none),(direct),form_start,Direct,Organic,,2,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Search,form_start,Google,Paid,,4,0,6/24/24
2024-06-25,(direct),(none),(direct),form_submission,Direct,Organic,,2,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Search,form_submission,Google,Paid,,2,0,6/24/24
2024-06-25,(direct),(none),(direct),page_view,Direct,Organic,,10,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,5,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Search,page_view,Google,Paid,,17,0,6/24/24
2024-06-25,(direct),(none),(direct),scroll,Direct,Organic,,2,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,2,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Search,scroll,Google,Paid,,3,0,6/24/24
2024-06-25,(direct),(none),(direct),session_start,Direct,Organic,3,3,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,4,4,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Search,session_start,Google,Paid,15,15,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,4,0,6/24/24
2024-06-25,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,9,0,6/24/24
2024-06-26,google,organic,(organic),click_to_call_website,Google,Organic,,1,0,6/24/24
2024-06-26,google,organic,(organic),first_visit,Google,Organic,,1,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,3,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,20,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,7,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Search,page_view,Google,Paid,,23,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Call Only,scroll,Google,Paid,,1,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Search,scroll,Google,Paid,,4,0,6/24/24
2024-06-26,google,organic,(organic),session_start,Google,Organic,1,1,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Call Only,session_start,Google,Paid,3,3,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Search,session_start,Google,Paid,21,21,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Call Only,user_engagement,Google,Paid,,1,0,6/24/24
2024-06-26,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,15,0,6/24/24
2024-06-27,(direct),(none),(direct),click,Direct,Organic,,1,0,6/24/24
2024-06-27,(direct),(none),(direct),click_to_call_website,Direct,Organic,,1,0,6/24/24
2024-06-27,(direct),(none),(direct),first_visit,Direct,Organic,,2,0,6/24/24
2024-06-27,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,19,0,6/24/24
2024-06-27,google,cpc,DF - Leads - Search,form_start,Google,Paid,,3,0,6/24/24
2024-06-27,google,cpc,DF - Leads - Search,form_submission,Google,Paid,,4,0,6/24/24
2024-06-27,(direct),(none),(direct),page_view,Direct,Organic,,4,0,6/24/24
2024-06-27,google,cpc,DF - Leads - Search,page_view,Google,Paid,,22,0,6/24/24
2024-06-27,google,cpc,DF - Leads - Search,scroll,Google,Paid,,4,0,6/24/24
2024-06-27,(direct),(none),(direct),session_start,Direct,Organic,2,2,0,6/24/24
2024-06-27,google,cpc,DF - Leads - Search,session_start,Google,Paid,20,20,0,6/24/24
2024-06-27,(direct),(none),(direct),user_engagement,Direct,Organic,,1,0,6/24/24
2024-06-27,google,cpc,DF - Leads - Search,user_engagement,Google,Paid,,15,0,6/24/24
2024-06-28,(direct),(none),(direct),click,Direct,Organic,,1,0,6/24/24
2024-06-28,google,cpc,DF - Leads - Search,click,Google,Paid,,1,0,6/24/24
2024-06-28,google,cpc,DF - Leads - Search,click_to_call_website,Google,Paid,,1,0,6/24/24
2024-06-28,(direct),(none),(direct),first_visit,Direct,Organic,,3,0,6/24/24
2024-06-28,google,cpc,DF - Leads - Call Only,first_visit,Google,Paid,,4,0,6/24/24
2024-06-28,google,cpc,DF - Leads - Search,first_visit,Google,Paid,,13,0,6/24/24
2024-06-28,(direct),(none),(direct),form_start,Direct,Organic,,1,0,6/24/24
2024-06-28,google,cpc,DF - Leads - Call Only,form_start,Google,Paid,,1,0,6/24/24
2024-06-28,google,cpc,DF - Leads - Search,form_start,Google,Paid,,1,0,6/24/24
2024-06-28,(direct),(none),(direct),form_submission,Direct,Organic,,1,0,6/24/24
2024-06-28,google,cpc,DF - Leads - Call Only,form_submission,Google,Paid,,2,0,6/24/24
2024-06-28,google,cpc,DF - Leads - Search,form_submission,Google,Paid,,1,0,6/24/24
2024-06-28,(direct),(none),(direct),page_view,Direct,Organic,,6,0,6/24/24
2024-06-28,google,cpc,DF - Leads - Call Only,page_view,Google,Paid,,5,0,6/24/24
